frame_id,instrument,verb,target,phase,triplet,tool_bbox_x,tool_bbox_y,tool_bbox_w,tool_bbox_h,operator,iscrowd,area,score,intraoperative_track,intracorporeal_track,visibility_track,visibility,crowded,visible,occluded,bleeding,smoke,blurred,undercoverage,reflection,stainedlens
6701,3,-1,-1,0,-1,0.2681498829039813,0.42916666666666664,0.36416861826697894,0.19583333333333333,3,0,47174,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6726,3,-1,-1,0,-1,0.3009367681498829,0.49166666666666664,0.0936768149882904,0.07291666666666667,3,0,60651.99999999999,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6751,3,-1,-1,0,-1,0.28337236533957844,0.7166666666666667,0.11475409836065574,0.0875,3,0,83247.99999999999,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6776,3,-1,-1,0,-1,0.26346604215456676,0.7645833333333333,0.11826697892271663,0.1,3,0,82575,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6801,3,-1,-1,0,-1,0.5807962529274004,0.475,0.15339578454332553,0.17291666666666666,3,0,113088,1,1,1,1,1,0,1,0,0,0,0,1,0,0
6826,3,-1,-1,0,-1,0.5081967213114754,0.4666666666666667,0.2388758782201405,0.18125,3,0,97216,1,1,1,1,1,0,1,0,0,0,0,1,0,0
6851,3,-1,-1,0,-1,0.5117096018735363,0.5520833333333334,0.12177985948477751,0.09375,3,0,115805.00000000001,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6876,3,-1,-1,0,-1,0.2822014051522248,0.6020833333333333,0.28454332552693207,0.20416666666666666,3,0,69648.99999999999,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6901,3,-1,-1,0,-1,0.3442622950819672,0.36041666666666666,0.47306791569086654,0.3104166666666667,3,0,50862,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6926,3,-1,-1,0,-1,0.31381733021077285,0.42916666666666664,0.31733021077283374,0.2625,3,0,55208,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6951,3,-1,-1,0,-1,0.33489461358313816,0.46875,0.3091334894613583,0.2708333333333333,3,0,64350,1,1,1,1,1,0,1,0,0,0,0,0,0,0
6976,3,-1,-1,0,-1,0.2693208430913349,0.51875,0.2154566744730679,0.20208333333333334,3,0,57270.000000000015,1,1,1,1,1,0,1,0,0,1,0,0,0,0
7001,3,-1,-1,0,-1,0.2939110070257611,0.5979166666666667,0.15807962529274006,0.15625,3,0,72037,1,1,1,1,1,0,1,0,0,0,0,0,0,0
7051,3,-1,-1,0,-1,0.38524590163934425,0.23333333333333334,0.5362997658079626,0.40625,3,0,36848,1,1,1,1,1,0,1,0,0,0,0,0,0,0
7076,3,-1,-1,0,-1,0.35362997658079626,0.375,0.3957845433255269,0.25625,3,0,54360,1,1,1,1,1,0,1,0,0,0,0,0,0,0
7101,3,-1,-1,0,-1,0.405152224824356,0.6104166666666667,0.27985948477751754,0.175,3,0,101378,1,1,1,1,1,0,1,0,0,0,0,0,0,0
7126,3,-1,-1,0,-1,0.27985948477751754,0.8270833333333333,0.0936768149882904,0.13125,3,0,94882.99999999999,1,1,1,1,1,0,1,0,0,0,0,0,0,0
7151,3,-1,-1,0,-1,0.1885245901639344,0.2625,0.36065573770491804,0.24166666666666667,3,0,20286,1,1,1,1,1,0,1,0,0,0,0,0,0,0
